Source,Target
hebben,beloven
belove,willen
willen,op_schorten
op_schorte,1895
1895,1
hebben,denken
denken,zullen
zullen,aan_treffen
aan_treffe,1874
1874,1
hebben,doen
doen,besluiten
besluite,onterven
onterven,1874
1874,1
hebben,hopen
hope,kunnen
kunnen,uit_stellen
uit_stelle,1918
1918,1
hebben,beloven
belove,laten
late,bezetten
bezetten,1880
1880,1
