hebben	doen	op_gaan	1857	1
hebben	doen	op_merken	1846	1
hebben	doen	op_merken	1875	1
hebben	doen	op_vatten	1894	1
hebben	doen	op_vatten	1935	1
hebben	doen	over_slaan	1869	1
hebben	doen	richten	1895	1
hebben	doen	samen_gaan	1869	1
hebben	doen	schijnen	1875	1
hebben	doen	schijnen	1891	1
hebben	doen	schrikken	1895	1
hebben	doen	sidderen	1875	1
hebben	doen	spannen	1869	1
hebben	doen	stijgen	1961	1
hebben	doen	terecht_komen	1978	1
hebben	doen	uit_reiken	1895	1
hebben	doen	vatten	1961	1
hebben	doen	veranderen	1951	1
hebben	doen	verdorren	1837	1
hebben	doen	vergeten	1837	1
hebben	doen	vergeten	1841	1
hebben	doen	verleggen	1951	1
hebben	doen	vermoeden	1910	1
hebben	doen	verschijnen	1948	1
hebben	doen	verwachten	1888	1
hebben	doen	verwachten	1922	1
hebben	doen	vloeien	1952	1
hebben	doen	voelen	1841	1
hebben	doen	weten	1895	1
hebben	doen	winnen	1858	1
hebben	doen	zien	1926	1
hebben	doen	zien	1946	1
hebben	durven	doen	1841	1
hebben	durven	dromen	1940	1
hebben	durven	leven	1926	1
hebben	durven	spreken	1964	1
hebben	durven	toe_voegen	1903	1
hebben	durven	werpen	1891	1
hebben	geven	kennen	1874	1
hebben	geven	kennen	1880	1
hebben	geven	kennen	1959	1
hebben	geven	kennen	1994	1
hebben	geven	leven	1995	1
hebben	geven	verstaan	1949	1
hebben	hangen	drogen	1906	1
hebben	hebben	danken	1880	2
hebben	hebben	danken	1894	1
hebben	hebben	danken	1917	1
hebben	hebben	danken	1988	1
hebben	hebben	doen	1874	1
hebben	hebben	doen	1895	1
hebben	hebben	eten	1840	1
hebben	hebben	lijden	1979	2
hebben	hebben	op_hebben	1979	1
hebben	hebben	schrijven	1908	1
hebben	hebben	uit_staan	1922	1
hebben	hebben	verzwakken	1880	1
hebben	helpen	af_slaan	1896	1
hebben	helpen	bevorderen	1997	1
hebben	helpen	dragen	1846	1
hebben	helpen	over_kalken	1971	1
hebben	helpen	vervullen	1918	1
hebben	hoeven	vervangen	1924	1
hebben	horen	bespreken	1894	1
hebben	horen	komen	1940	1
hebben	horen	komen	1959	1
hebben	horen	lezen	1922	1
hebben	horen	noemen	1894	1
hebben	horen	open_gaan	1918	1
hebben	horen	spreken	1964	1
hebben	horen	uit_spreken	1946	1
hebben	horen	vertellen	1992	1
hebben	horen	voor_dragen	1971	1
hebben	horen	zeggen	1959	1
