verb1,year,frequency
aan_knippen,1963,2
aan_knopen,1869,1
aan_knopen,1934,1
aan_knopen,1972,1
aan_komen,1837,2
aan_komen,1839,1
aan_komen,1842,1
aan_komen,1847,2
aan_komen,1857,4
aan_komen,1869,3
aan_komen,1874,6
aan_komen,1880,3
aan_komen,1890,2
aan_komen,1895,1
aan_komen,1896,3
aan_komen,1903,1
aan_komen,1905,2
aan_komen,1911,2
aan_komen,1918,2
aan_komen,1925,4
aan_komen,1926,1
aan_komen,1930,1
aan_komen,1934,2
aan_komen,1937,1
aan_komen,1946,1
aan_komen,1951,1
aan_komen,1956,1
aan_komen,1958,1
aan_komen,1959,2
aan_komen,1963,2
aan_komen,1964,1
aan_komen,1965,1
aan_komen,1968,1
aan_komen,1971,1
aan_komen,1975,1
aan_komen,1979,1
aan_komen,1980,1
aan_komen,1989,1
aan_komen,1991,1
aan_kondigen,1843,1
aan_kondigen,1869,1
aan_kondigen,1895,1
aan_kondigen,1924,1
aan_kondigen,1925,1
aan_kondigen,1933,2
aan_kondigen,1946,1
aan_kondigen,1951,4
aan_kondigen,1974,1
aan_kondigen,1979,1
aan_kondigen,1982,1
aan_kondigen,1988,2
aan_kondigen,1991,2
aan_kondigen,1994,1
aan_kondigen,1999,1
aan_kunnen,1918,1
aan_kunnen,1926,1
aan_kunnen,1953,3
aan_kunnen,1957,1
aan_kunnen,1978,1
aan_landen,1895,1
aan_leggen,1935,1
aan_leggen,1937,1
aan_leggen,1954,1
aan_lengen,1978,1
aan_leunen,1961,1
aan_leunen,1991,1
aan_leunen,1992,1
aan_liggen,1961,1
aan_liggen,1999,1
aan_lokken,1903,1
aan_lokken,1906,1
aan_lopen,1919,1
aan_lopen,1957,1
aan_lopen,1971,1
aan_lopen,1978,1
aan_maken,1909,1
aan_manen,1918,1
aan_melden,1979,1
aan_melden,1981,1
aan_merken,1837,2
aan_merken,1860,3
aan_moedigen,1839,1
aan_moedigen,1880,1
aan_moedigen,1918,1
aan_moedigen,1946,1
aan_moedigen,1961,2
aan_moedigen,1991,1
aan_moedigen,1997,1
aan_nemen,1837,1
aan_nemen,1840,1
aan_nemen,1842,1
aan_nemen,1846,2
aan_nemen,1857,2
aan_nemen,1869,1
aan_nemen,1871,1
aan_nemen,1874,4
aan_nemen,1875,2
aan_nemen,1880,3
aan_nemen,1890,3
aan_nemen,1891,1
aan_nemen,1894,1
aan_nemen,1895,2
aan_nemen,1903,1
aan_nemen,1904,1
aan_nemen,1905,2
aan_nemen,1906,1
aan_nemen,1918,1
aan_nemen,1925,3
aan_nemen,1935,1
aan_nemen,1937,1
aan_nemen,1940,1
aan_nemen,1943,1
aan_nemen,1946,2
aan_nemen,1948,1
aan_nemen,1949,2
aan_nemen,1950,1
aan_nemen,1951,2
aan_nemen,1952,2
aan_nemen,1953,1
aan_nemen,1954,2
aan_nemen,1957,1
aan_nemen,1959,1
aan_nemen,1971,1
aan_nemen,1975,1
aan_nemen,1979,2
aan_nemen,1980,3
aan_nemen,1981,1
aan_nemen,1982,1
aan_nemen,1985,1
aan_nemen,1991,1
aan_nemen,1992,2
aan_nemen,1994,1
aan_nemen,1997,1
aan_nemen,1999,1
aan_pakken,1910,1
aan_pakken,1964,2
aan_pakken,1979,1
aan_passen,1837,1
aan_passen,1940,1
aan_passen,1958,2
aan_passen,1992,1
aan_plakken,1840,1
aan_prijzen,1860,1
aan_prijzen,1895,1
aan_prijzen,1934,1
aan_prijzen,1951,1
aan_raden,1922,1
aan_raden,1934,2
aan_raden,1960,1
aan_raken,1891,1
aan_raken,1895,1
aan_raken,1959,1
aan_raken,1968,1
aan_raken,1970,1
aan_raken,1972,1
aan_raken,1977,1
aan_raken,1980,1
aan_randen,1875,1
aan_reiken,1860,1
aan_reiken,1963,1
aan_reiken,1978,1
aan_rennen,1953,1
aan_richten,1869,1
aan_richten,1890,1
aan_richten,1891,1
aan_richten,1970,1
aan_roepen,1962,1
aan_roepen,1988,1
aan_roeren,1843,1
aan_roeren,1846,1
aan_roeren,1891,1
aan_roeren,1919,1
aan_rollen,1922,1
aan_rukken,1946,1
aan_schaffen,1847,1
aan_schouwen,1847,1
aan_schouwen,1874,3
aan_schouwen,1890,1
aan_schouwen,1892,1
aan_schouwen,1908,1
aan_schouwen,1924,1
aan_schrijven,1984,1
aan_schuiven,1925,2
aan_slaan,1903,1
aan_slepen,1991,1
aan_sluipen,1922,1
aan_sluiten,1846,1
aan_sluiten,1869,7
aan_sluiten,1880,3
aan_sluiten,1894,1
aan_sluiten,1917,1
aan_sluiten,1924,2
aan_sluiten,1926,2
aan_sluiten,1934,1
aan_sluiten,1935,1
aan_sluiten,1937,1
aan_sluiten,1940,2
aan_sluiten,1943,2
aan_sluiten,1956,2
aan_sluiten,1957,1
aan_sluiten,1964,1
aan_sluiten,1968,1
aan_sluiten,1983,1
aan_sluiten,1985,2
aan_sluiten,1989,1
aan_sluiten,1991,1
aan_sluiten,1995,1
aan_snijden,1956,1
aan_spoelen,1978,1
aan_sporen,1890,1
aan_sporen,1895,1
aan_sporen,1985,1
aan_spreken,1903,1
aan_spreken,1905,1
aan_spreken,1917,1
aan_spreken,1951,1
aan_spreken,1963,1
aan_spreken,1970,1
aan_spreken,1992,1
aan_staan,1874,1
aan_staan,1891,1
aan_staan,1896,1
aan_staan,1922,1
aan_staan,1924,2
aan_staan,1925,1
aan_staan,1971,2
aan_staan,1978,1
aan_staren,1837,3
aan_staren,1895,5
aan_staren,1898,1
aan_staren,1922,1
aan_staren,1953,1
aan_staren,1960,1
aan_steken,1910,1
aan_steken,1926,1
aan_steken,1940,1
aan_steken,1964,1
aan_steken,1997,1
aan_stellen,1924,1
aan_stippen,1880,1
aan_stippen,1953,2
aan_stippen,1985,1
aan_stoken,1970,1
aan_stoten,1922,1
aan_sturen,1991,1
aan_tasten,1847,1
aan_tasten,1891,1
aan_tasten,1910,1
aan_tasten,1949,1
aan_tasten,1970,2
aan_tasten,1999,2
aan_tekenen,1905,1
aan_tekenen,1937,1
aan_tekenen,1979,1
aan_tekenen,1999,1
